"Id","sex","age","VD02","VD03","VD04","VD05","VD06","VD07","VD08","VD09","VD10","VD11","VD12","VD14","VD15","VD16","VD17","VD18","VD19","VD20","VD21","VD22","VD23","VD24","VD25","VD26","VD27","VD28","VD29","VD30","VD31","VD33","VD34","VD35","VD36","VD38","VD39","VD40"
34.0,1,33.0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
38.0,1,46.0,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
40.0,1,23.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
43.0,1,36.0,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2
49.0,1,55.0,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
52.0,1,45.0,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2
53.0,1,52.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
55.0,1,26.0,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,1,1,2
60.0,1,35.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
61.0,1,35.0,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1
62.0,1,61.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2
64.0,1,62.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
68.0,1,45.0,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2
70.0,1,35.0,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2
73.0,1,36.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
78.0,1,26.0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
82.0,1,36.0,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2
84.0,1,45.0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
85.0,1,47.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
88.0,1,34.0,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2
101.0,1,52.0,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2
102.0,1,50.0,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2
103.0,1,53.0,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,1
104.0,1,22.0,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2
105.0,1,38.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
107.0,1,37.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
108.0,1,33.0,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2
110.0,1,32.0,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
111.0,1,22.0,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2
112.0,1,52.0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1
113.0,1,24.0,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2
115.0,1,34.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
116.0,1,47.0,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1
120.0,1,25.0,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1
121.0,1,36.0,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
125.0,1,25.0,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2
128.0,1,29.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
129.0,1,23.0,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2
131.0,1,46.0,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
132.0,1,21.0,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
133.0,1,23.0,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2
135.0,1,33.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
136.0,1,26.0,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2
137.0,1,19.0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2
138.0,1,28.0,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2
142.0,1,44.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
143.0,1,60.0,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1
144.0,1,55.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145.0,1,27.0,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
146.0,1,56.0,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2
147.0,1,28.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
149.0,1,43.0,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2
152.0,1,41.0,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1
155.0,1,27.0,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2
156.0,1,30.0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
160.0,1,29.0,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
163.0,1,30.0,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
165.0,1,38.0,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2
167.0,1,25.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
172.0,1,54.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
173.0,1,21.0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
174.0,1,23.0,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1
178.0,1,23.0,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2
180.0,1,51.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181.0,1,35.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2
183.0,1,31.0,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2
184.0,1,23.0,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2
187.0,1,47.0,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2
188.0,1,40.0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
190.0,1,25.0,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2
191.0,1,25.0,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2
192.0,1,24.0,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2
195.0,1,21.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2
196.0,1,35.0,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
197.0,1,61.0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
205.0,1,43.0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
213.0,1,24.0,1,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2
214.0,1,61.0,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2
215.0,1,57.0,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2
222.0,1,29.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
238.0,1,34.0,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2
239.0,1,26.0,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2
240.0,1,44.0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2
246.0,1,30.0,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1
248.0,1,20.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
249.0,1,48.0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
250.0,1,58.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
254.0,1,32.0,2,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2
256.0,1,48.0,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2
257.0,1,64.0,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2
258.0,1,47.0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2
262.0,1,21.0,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2
266.0,1,43.0,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
268.0,1,25.0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
273.0,1,21.0,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2
275.0,1,24.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
276.0,1,50.0,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2
277.0,1,36.0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2
278.0,1,47.0,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2
280.0,1,24.0,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,2
281.0,1,26.0,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2
282.0,1,36.0,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2
283.0,1,22.0,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2
288.0,1,45.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
291.0,1,34.0,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2
293.0,1,23.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
300.0,1,40.0,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2
302.0,1,52.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1
306.0,1,36.0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
309.0,1,63.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
313.0,1,20.0,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1
314.0,1,50.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
316.0,1,41.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2
317.0,1,29.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
324.0,1,21.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2
325.0,1,55.0,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2
327.0,1,61.0,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
330.0,1,20.0,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2
332.0,1,46.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
335.0,1,44.0,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1
336.0,1,61.0,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2
346.0,1,43.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
350.0,1,25.0,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2
360.0,1,64.0,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
366.0,1,32.0,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
367.0,1,30.0,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2
373.0,1,37.0,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
375.0,1,30.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
379.0,1,26.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
380.0,1,24.0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2
386.0,1,35.0,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2
388.0,1,36.0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2
389.0,1,36.0,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
390.0,1,36.0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
394.0,1,44.0,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2
399.0,1,20.0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2
402.0,1,45.0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
403.0,1,59.0,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2
406.0,1,38.0,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1
407.0,1,23.0,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
409.0,1,20.0,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2
412.0,1,23.0,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2
415.0,1,23.0,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2
417.0,1,44.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
419.0,1,19.0,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2
421.0,1,38.0,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2
422.0,1,23.0,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
423.0,1,58.0,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2
428.0,1,44.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
429.0,1,53.0,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2
432.0,1,26.0,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
437.0,1,38.0,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2
438.0,1,25.0,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2
